title,text,subject,date,,
กรมราชทัณฑ์ เตรียมปล่อยนักโทษ 1 แสนคน สิ้นปี 63,"ข่าวดังกล่าวไม่เป็นจริง เนื่องจากการพระราชกฤษฎีกาพระราชทานอภัย พ.ศ. 2563 มีผู้ต้องขังได้รับการปล่อยตัวออกจากเรือนจำแล้ว ประมาณ 40,000 ราย ไม่ได้มีจำนวนถึง 1 แสนคน ส่วนนักการเมืองส่วนใหญ่ก็ไม่อยู่ในเกณฑ์ได้รับการพระราชทานอภัยโทษ เนื่องจากกระทำความผิดตามบัญชีแนบท้าย",News,20-ต.ค.-63,,
ดื่มน้ำอัดลมใส่เกลือ ช่วยแก้อาการขาดน้ำจากภาวะท้องเสีย,การดื่มน้ำอัดลมผสมเกลือ เป็นวิธีที่ไม่แนะนำสำหรับทดแทนน้ำและเกลือแร่ เนื่องจากในน้ำอัดลมมีปริมาณน้ำตาลสูงกว่าผงน้ำตาลเกลือแร่ และยังมีการอัดแก๊ส หากดื่มอาจทำให้เกิดอาการท้องอืด ท้องเฟ้อ หรือทำให้อาการท้องเสียแย่ลงได้,News,20-ต.ค.-63,,
สหรัฐยกเลิกการบริจาควัคซีนไฟเซอร์ ให้กับประเทศไทย,ณ วันที่ 19 ส.ค. 64 ยังไม่มีข่าวเกี่ยวกับเรื่องการยกเลิกบริจาควัคซีนไฟเซอร์ จากทั้งรัฐบาลไทยและรัฐบาลสหรัฐฯ ว่าเป็นข้อเท็จจริงแต่อย่างใด,News,20-ต.ค.-63,,
 ข่าวไมโครเวฟอันตรายกว่าระเบิดปรมาณู ไม่เป็นความจริง,รมวิทยาศาสตร์การแพทย์ เผย ข่าวไมโครเวฟอันตรายกว่าระเบิดปรมาณู ไม่เป็นความจริง แนะขณะใช้เตาไมโครเวฟอย่าเอาหน้าไปจ้องดูอาหาร เพราะอาจเป็นอันตรายต่อตาได้ หากพบการรั่วของคลื่นไมโครเวฟ สามารถส่งกรมวิทยาศาสตร์การแพทย์ ตรวจสอบได้,News,11-มิ.ย.-19,,
 สธ. ค้นพบวิธีลดน้ำหนักแบบได้ผล เตือนอย่าหลงเชื่อ,เภสัชกรหญิงสุภัทรา บุญเสริม รองเลขาธิการคณะกรรมการอาหารและยา เปิดเผยว่า กรณีพบหน้าเพจบนสื่อโซเชียลมีเดีย ECO มีการระบุข้อความเกี่ยวกับข่าวในวงการโภชนาการว่าได้มีการค้นพบวิธีลดน้ำหนักแบบรวดเร็ว โดยมีการใช้รูปภาพผู้บริหารระดับสูงของกระทรวงสาธารณสุข ได้แก่ ศาสตราจารย์คลินิก เกียรติคุณ นายแพทย์ปิยะสกล สกลสัตยาทร รัฐมนตรีว่าการกระทรวงสาธารณสุข นายแพทย์เสรี ตู้จินดา ประธานคณะที่ปรึกษารัฐมนตรีว่าการกระทรวงสาธารณสุข และผู้บริหารกระทรวงสาธารณสุขอีก 3 ท่าน เป็นภาพประกอบเพื่อเพิ่มความน่าเชื่อถือให้แก่การโฆษณาดังกล่าว นั้น สำนักงานคณะกรรมการอาหารและยา ขอชี้แจงว่า หน้าเพจดังกล่าวเป็นเพจปลอม กระทรวงสาธารณสุขไม่มีการรับรองวิธีการลดน้ำหนักตามที่โฆษณาแต่อย่างใด และจะดำเนินการทางกฎหมายอย่างเคร่งครัดกับผู้ที่เอารูปภาพหรือข้อความไปแอบอ้าง เตือนประชาชนอย่าหลงเชื่อข้อมูลที่อยู่ในเพจดังกล่าว,News,6-ก.ค.-19,,
คลิปเสียงแพทย์หญิง ระบุห้างดังย่านพระราม9 สนามบิน และจ.ภูเก็ต มีผู้ติดโควิด-19,คลิปเสียงดังกล่าวเป็นคลิปเก่าที่เคยถูกแชร์เมื่อเดือนกุมภาพันธ์ 2563 ซึ่งขณะนั้นไม่มีการพบผู้ป่วยที่ติดเชื้อไวรัสโควิด-19 เพิ่มเติม และปัจจุบันผู้ป่วยรายใหม่ยังคงเป็นผู้ที่เดินทางกลับมาจากต่างประเทศ ไม่พบการติดเชื้อในประเทศ,News,6-ก.ค.-19,,
พบผู้ป่วยโควิด-19 ล้มในห้างดังกลางเมืองระยอง,ไม่พบผู้ติดเชื้อไวรัสโควิด-19 เพิ่มที่จังหวัดระยอง และไม่มีเหตุการณ์ตามที่กล่าวอ้าง,News,6-ก.ค.-19,,
ไทยสนับสนุนอิหร่านในการรบกับอเมริกา ข่าวปลอม สร้างความเข้าใจผิดทางสังคม,ข้อความที่ถูกเผยแพร่ผ่านทางเฟซบุ๊กขององค์กรปกป้องพระพุทธศาสนาเพื่อสันติภาพ จากภาพที่ถูกเผยแพร่เป็นกลุ่มนักเรียนไทยในอิหร่านที่ได้นำธงชาติไทยไปร่วมในงานศพของ พล.ต.กอเซ็ม สุไลมานี เพื่อแสดงออกว่าเป็นคนไทยเท่านั้น,News,18-ม.ค.-20,,
รัฐฯ เหลืองบกลางเงินเยียวยาประชาชนแค่ 5 หมื่นล้าน,"จากกรณีที่มีการโพสต์ข้อความเรื่อง รัฐฯ เหลืองบกลางเงินเยียวยาประชาชนแค่ 5 หมื่นล้าน ทางสำนักงบประมาณ สำนักนายกรัฐมนตรี ได้ชี้แจงถึงประเด็นนี้ว่า ข้อมูลดังกล่าวเป็นข้อมูลเท็จ เนื่องจาก งบประมาณปี พ.ศ.2563 ได้ถูกตั้งงบกลางไว้ทั้งสิ้น 11 รายการ จำนวน 518,770.9180 ล้านบาท",News,18-ม.ค.-20,,
 พบนักศึกษา ม.เชียงใหม่ ติดเชื้อโควิด 19 จำนวนมาก ทำให้ทุกพื้นที่ของเชียงใหม่เสี่ยงหมด, ข่าวดังกล่าวเป็นข่าวเก่าเมื่อเดือนมีนาคม-เมษายน 2564 ที่ถูกนำมาแชร์ซ้ำ ปัจจุบัน การระบาดของโรคโควิด 19 ในจังหวัดเชียงใหม่เริ่มลดลง ไม่พบการระบาดในผับ หรือในกลุ่มนักศึกษามหาวิทยาลัยเชียงใหม่ตามที่กล่าวอ้างแต่อย่างใด,News,19-ม.ค.-20,,p
