title,text,subject,date,
ทส.ประสานหน่วยงานภาครัฐ เพิ่มความเข้มงวดป้องกัน-แก้ไขปัญหาฝุ่น PM2.5,กรมควบคุมมลพิษ กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม ประสานความร่วมมือกระทรวงมหาดไทยและกรุงเทพมหานคร เพิ่มความเข้มงวดในการป้องกันและแก้ไขปัญหาฝุ่นละอองขนาดเล็ก PM2.5,News,23-ม.ค.-21,
‘โอไมครอน’ ลาม 38 ประเทศแล้ว WHO ยืนยันยังไม่พบผู้เสียชีวิต จากโควิดสายพันธุ์นี้,วันที่ 4 ธ.ค. 2564 สำนักข่าวต่างประเทศรายงานว่า องค์การอนามัยโลก (WHO) เปิดเผยว่า มีการตรวจพบผู้ติดเชื้อไวรัสโควิด-19 สายพันธุ์โอไมครอนในอย่างน้อย 38 ประเทศทั่วโลกแล้ว เพิ่มขึ้นจาก 23 ประเทศที่มีการรายงานเมื่อวันพุธ (1 ธ.ค.) แต่ยังไม่ได้รับรายงานผู้เสียชีวิตจากการติดเชื้อไวรัสสายพันธุ์นี้ ,News,23-ม.ค.-21,
ฟ้าทะลายโจร : เรามีงานวิจัยสนับสนุนที่เพียงพอหรือยังด้านการรักษา-ป้องกันโควิด,ราชกิจจานุเบกษาประกาศเพิ่มฟ้าทะลายโจร ในบัญชียาหลักแห่งชาติด้านสมุนไพร เพื่อใช้รักษาโรคโควิด-19 ในผู้ป่วยอาการน้อย ท่ามกลางความกังวลของแพทย์แผนปัจจุบันว่า ข้อมูลการวิจัยยังไม่เป็นที่ประจักษ์ ด้านอธิบดีกรมการแพทย์แผนไทยและการแพทย์ทางเลือก เผยฤทธิ์ฟ้าทะลายโจรไม่สามารถป้องกันโควิด-19 ได้ แต่ช่วยได้เพียงเสริมภูมิคุ้มกัน,News,12-มิ.ย.-21,
เข้าสู่สัปดาห์ที่สอง รพ.เอกชน หลายแห่งประกาศเลื่อนคิวฉีด 14-20 มิ.ย.,สุดสัปดาห์ก่อนเข้าสู่สัปดาห์ที่สองที่ประเทศไทยเริ่มฉีดวัคซีนให้กับประชากรกลุ่มใหญ่ โรงพยาบาลเอกชนหลายแห่งซึ่งรับลงทะเบียนฉีดวัคซีนผ่านระบบหมอพร้อม ประกาศแจ้งประชาชนผู้ลงทะเบียนเลื่อนการฉีดวัคซีนสำหรับวันที่ 14-20 มิ.ย. โดยให้เหตุผลว่า ยังไม่ได้รับการจัดสรรวัคซีน,News,13-มิ.ย.-21,
เลขา สมช. ระบุผู้ผลิตวัคซีนแอสตร้าเซนเนก้ายังไม่ผิดเงื่อนไข หลังจัดส่งวัคซีนล่าช้า,ประเด็นการสื่อสารระหว่างหน่วยงานรัฐที่เกี่ยวข้องกับการกระจายวัคซีนกลายเป็นที่วิพากษ์วิจารณ์ของสังคมตลอดสุดสัปดาห์ที่ผ่านมา โดยเฉพาะการรายงานตัวเลขการกระจายวัคซีนไม่ตรงกันของหน่วยงาน อาทิ กรุงเทพมหานคร (กทม.) กระทรวงสาธารณสุข (สธ.) รวมทั้งการประกาศเลื่อนการฉีดวัคซีนไปในบางส่วน,News,14-มิ.ย.-21,
สธ. ย้ำการฉีดวัคซีนเดือนมิ.ย.ยังเป็นไปตามแผน,นพ.โอภาส การย์กวินพงค์ อธิบดีกรมควบคุมโรค ในฐานะผู้แทน สธ. กล่าวว่า สธ. ดำเนินการตามนโยบายที่รัฐกำหนดในการจัดหาวัคซีนโควิด-19 ให้กับประชาชนคนไทยอย่างน้อยจำนวน 50 ล้านคน หรือคิดเป็น 70% ของประชากรในแผ่นดินไทยให้เร็วที่สุด โดยต้องดำเนินการให้เสร็จในปี 2564,News,14-มิ.ย.-21,
เอ็มอาร์เอ็นเอ กับข่าวลือวัคซีนก่อสารพิษ-เปลี่ยนพันธุกรรมมนุษย์ เชื่อถือได้หรือ,"ท่ามกลางกระแสวิพากษ์วิจารณ์ในหมู่ผู้ใช้โซเชียลมีเดียในไทยถึงคุณภาพและความปลอดภัยของวัคซีนซิโนแวค ซึ่งเป็นวัคซีนป้องกันโรคโควิด-19 ตัวหลักที่รัฐบาลจัดสรรให้ประชาชน อีกด้านหนึ่ง มีการเผยแพร่ส่งต่อข้อมูลของวัคซีนอีกชนิดทางโซเชียลมีเดียอย่างกว้างขวาง ซึ่งข้อมูลนี้เป็นคำเตือนถึงหายนะที่อาจเกิดขึ้นกับมวลมนุษยชาติ จากการฉีดวัคซีนชนิด ""เอ็มอาร์เอ็นเอ"" (mRNA)",News,15-มิ.ย.-21,
"นายกฯ ตั้งเป้าเปิดประเทศใน 120 วัน ระบุ ""เราก็ไม่สามารถรอจนทุกคนได้รับการฉีดวัคซีนครบ 2 โดสกันถ้วนหน้าก่อน""",นายกรัฐมนตรีตั้งเป้าต้องเปิดประเทศไทยทั้งประเทศภายใน 120 วัน โดยไม่สามารถรอให้ให้ทุกคนได้รับวัคซีนครบ 2 โดสก่อนได้ เผยอาจจะทำให้มีจำนวนผู้ติดเชื้อเพิ่มขึ้นบ้าง แต่จำเป็นต้องทำเพื่อความอยู่รอดในการทำมาหากินของประชาชน และต้องยอมรับความเสี่ยงร่วมกัน โดยขณะนี้จะเร่งฉีดวัคซีนเข็มแรกให้แก่ประชาชนให้เร็วที่สุดเท่าที่จะเป็นไปได้,News,16-มิ.ย.-21,
นายกฯ สั่งเปิดประเทศใน 120 วัน ภาคธุรกิจเชื่อว่าทำได้ แต่หมอหวั่นใจ,"สมาคมธุรกิจท่องเที่ยวเชื่อว่า พล.อ.ประยุทธ์ จันทร์โอชา นายกรัฐมนตรีและรัฐมนตรีว่าการกระทรวงกลาโหมจะสามารถ ""เปิดประเทศ"" ภายใน 120 วันได้จริงตามที่ลั่นวาจาผ่านโทรทัศน์รวมการเฉพาะกิจเมื่อวานนี้ (16 มิ.ย.) เพราะถ้าทำไม่ได้ก็คง ""ไม่ประกาศเช่นนั้น"" ขณะที่แพทย์ รพ.จุฬาฯ ฝาก 3 เรื่องให้รัฐบาลพิจารณาให้ดีก่อนคิดจะเปิดประเทศ",News,17-มิ.ย.-21,
ครม. อนุมัติโครงการบ้านพักข้าราชการ ของกระทรวงศึกษาธิการ วงเงิน 211 ล้านบาท,ตามที่มีการเผยแพร่ข่าวสารในประเด็นเรื่อง ครม. อนุมัติโครงการบ้านพักข้าราชการ ของกระทรวงศึกษาธิการ วงเงิน 211 ล้านบาท ทางศูนย์ต่อต้านข่าวปลอมได้ดำเนินการตรวจสอบข้อเท็จจริงโดย กรมประชาสัมพันธ์ สำนักนายกรัฐมนตรี พบว่าประเด็นดังกล่าวนั้น เป็นข้อมูลจริง,News,17-มิ.ย.-21,
